Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	EC number
P00645	reviewed	CEAC_ECOLX	Cloacin (EC 3.1.-.-) (Ribonuclease)	ccl	Escherichia coli	561	3.1.-.-
P02978	reviewed	CEA1_ECOLX	Colicin-E1	cea	Escherichia coli	522	
P03609	reviewed	LYS_BPMS2	Lysis protein (L protein)		Escherichia phage MS2 (Bacteriophage MS2)	75	
P04419	reviewed	CEA2_ECOLX	Colicin-E2 (EC 3.1.-.-)	col ceaB	Escherichia coli	581	3.1.-.-
P04479	reviewed	CEIB_ECOLX	Colicin-Ib	cib	Escherichia coli	626	
P05819	reviewed	CEAB_ECOLX	Colicin-B	cba	Escherichia coli	511	
P05834	reviewed	MCBA_ECOLX	Bacteriocin microcin B17 (MccB17)	mcbA	Escherichia coli	69	
P06716	reviewed	CEIA_ECOLX	Colicin-Ia	cia	Escherichia coli	626	
P09882	reviewed	CEA8_ECOLX	Colicin-E8 (EC 3.1.-.-)	col	Escherichia coli	205	3.1.-.-
P09984	reviewed	HLYC1_ECOLX	Protein-lysine myristoyltransferase HlyC (EC 2.3.1.-) (Hemolysin C) (Hemolysin-activating lysine-acyltransferase HlyC) (Toxin-activating protein C, J96)	hlyC	Escherichia coli	170	2.3.1.-
P09985	reviewed	HLYC2_ECOLX	Protein-lysine myristoyltransferase HlyC (EC 2.3.1.-) (Hemolysin C) (Hemolysin-activating lysine-acyltransferase HlyC) (Toxin-activating protein C, 2001)	hlyC	Escherichia coli	174	2.3.1.-
P09986	reviewed	HLYDC_ECOLX	Hemolysin secretion protein D, chromosomal	hlyD	Escherichia coli	478	
P0A4A7	reviewed	RS12_STRPN	Small ribosomal subunit protein uS12 (30S ribosomal protein S12)	rpsL str SP_0271	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	137	
P0A7Y1	reviewed	RNC_ECOL6	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	rnc c3091	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	226	3.1.26.3
P0A7Y3	reviewed	RNC_SHIFL	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	rnc SF2629 S2802	Shigella flexneri	226	3.1.26.3
P0AEJ7	reviewed	EUTB_ECO57	Ethanolamine ammonia-lyase large subunit (EAL large subunit) (EC 4.3.1.7)	eutB Z3706 ECs3312	Escherichia coli O157:H7	453	4.3.1.7
P0DQT3	reviewed	MAST2_PARVS	Polybia-MP-II (Polybia-MPII)		Parachartergus vespiceps testaceus (Wasp)	14	
P10439	reviewed	ENLYS_BPPA2	SAR-endolysin (EC 3.2.1.17) (Endolysin) (Lysis protein) (Lysozyme) (Muramidase)	15	Enterobacteria phage PA-2 (Bacteriophage PA-2)	165	3.2.1.17
P11599	reviewed	HLYB_PROVU	Alpha-hemolysin translocation ATP-binding protein HlyB	hlyB	Proteus vulgaris	707	
P14892	reviewed	CWLA_BACSP	N-acetylmuramoyl-L-alanine amidase CwlA (EC 3.5.1.28) (Autolysin) (Cell wall hydrolase)	cwlA	Bacillus sp	251	3.5.1.28
P17998	reviewed	CEAD_ECOLX	Colicin-D	cda	Escherichia coli	697	
P17999	reviewed	CEA6_ECOLX	Colicin-E6 (EC 3.1.-.-) (Ribonuclease)		Escherichia coli	551	3.1.-.-
P22522	reviewed	CEAV_ECOLX	Colicin-V (Microcin-V bacteriocin)	cvaC	Escherichia coli	103	
P27359	reviewed	ENLYS_BPP21	SAR-endolysin (EC 3.2.1.17) (Endolysin) (Lysis protein) (Lysozyme) (Muramidase)	R	Enterobacteria phage P21 (Bacteriophage 21) (Bacteriophage P21)	165	3.2.1.17
P37710	reviewed	ALYS_ENTFA	Autolysin (EC 3.2.1.-) (Beta-glycosidase) (Peptidoglycan hydrolase)	EF_0799	Enterococcus faecalis (strain ATCC 700802 / V583)	737	3.2.1.-
P38613	reviewed	RL18A_SULAC	Large ribosomal subunit protein eL20 (50S ribosomal protein L18Ae) (50S ribosomal protein L20e) (50S ribosomal protein LX)	rpl18a rlx rpl20e rplX Saci_1464	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	86	
P50436	reviewed	GLYA_METTM	Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.-)	glyA MTBMA_c17670	Methanothermobacter marburgensis (strain ATCC BAA-927 / DSM 2133 / JCM 14651 / NBRC 100331 / OCM 82 / Marburg) (Methanobacterium thermoautotrophicum)	423	2.1.2.-
P68920	reviewed	ENLYS_BP933	SAR-endolysin (EC 3.2.1.17) (Endolysin) (Lysis protein) (Lysozyme) (Muramidase)	R L0108	Escherichia phage 933W (Bacteriophage 933W)	177	3.2.1.17
P68921	reviewed	ENLYS_BPVT2	SAR-endolysin (EC 3.2.1.17) (Endolysin) (Lysis protein) (Lysozyme) (Muramidase)	R	Enterobacteria phage VT2-Sa (Bacteriophage VT2-Sa)	177	3.2.1.17
P76159	reviewed	LYSQ_ECOLI	Probable prophage lysozyme (EC 3.2.1.17) (Endolysin) (Lysis protein) (Muramidase) (Probable lysozyme from lambdoid prophage Qin)	rrrQ arrQ ydfQ b1554 JW1546	Escherichia coli (strain K12)	177	3.2.1.17
P86521	reviewed	AMP_LYMAR	Antimicrobial peptide 1b (LAMP-1b) [Cleaved into: Antimicrobial peptide 1a (LAMP-1a)]		Leymus arenarius (Lyme grass) (Elymus arenarius)	44	
Q01360	reviewed	AMIE_RHOER	Aliphatic amidase (EC 3.5.1.4) (Acylamide amidohydrolase) (Wide spectrum amidase)	amiE amiP	Rhodococcus erythropolis (Arthrobacter picolinophilus)	345	3.5.1.4
Q0TES1	reviewed	RNC_ECOL5	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	rnc ECP_2569	Escherichia coli O6:K15:H31 (strain 536 / UPEC)	226	3.1.26.3
Q0TF29	reviewed	EUTC_ECOL5	Ethanolamine ammonia-lyase small subunit (EAL small subunit) (EC 4.3.1.7)	eutC ECP_2461	Escherichia coli O6:K15:H31 (strain 536 / UPEC)	295	4.3.1.7
Q1R8G6	reviewed	RNC_ECOUT	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	rnc UTI89_C2888	Escherichia coli (strain UTI89 / UPEC)	226	3.1.26.3
Q1R8T1	reviewed	EUTC_ECOUT	Ethanolamine ammonia-lyase small subunit (EAL small subunit) (EC 4.3.1.7)	eutC UTI89_C2773	Escherichia coli (strain UTI89 / UPEC)	295	4.3.1.7
Q47108	reviewed	CEA_ECOLX	Colicin-A	caa	Escherichia coli	204	
Q47125	reviewed	CE10_ECOLX	Colicin-10	cta	Escherichia coli	490	
Q47500	reviewed	CE05_ECOLX	Colicin-5	cfa	Escherichia coli	490	
Q47502	reviewed	CEAK_ECOLX	Colicin-K	cka	Escherichia coli	548	
Q6XQ98	reviewed	ENLYS_BPT1	SAR-endolysin (EC 3.2.1.17) (Endolysin) (Lysis protein) (Lysozyme) (Muramidase)	12	Escherichia phage T1 (Bacteriophage T1)	162	3.2.1.17
Q8FFA1	reviewed	EUTC_ECOL6	Ethanolamine ammonia-lyase small subunit (EAL small subunit) (EC 4.3.1.7)	eutC c2974	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	295	4.3.1.7
Q8XEH3	reviewed	EUTC_ECO57	Ethanolamine ammonia-lyase small subunit (EAL small subunit) (EC 4.3.1.7)	eutC Z3705 ECs3311	Escherichia coli O157:H7	295	4.3.1.7
Q969A1	reviewed	HLTNI_HAELO	Troponin I-like protein (HLTnI)	p27/30	Haemaphysalis longicornis (Bush tick)	200	
Q9JN69	reviewed	HPPE_PSESX	(S)-2-hydroxypropylphosphonic acid epoxidase (EC 1.11.1.23) (Hydroxypropylphosphonate epoxidase) (Ps-hppE)	hppE	Pseudomonas syringae	190	1.11.1.23
Q9REB3	reviewed	HLYE_ECO57	Hemolysin E (Cytotoxin ClyA) (Silent hemolysin SheA)	hlyE clyA sheA Z1944 ECs1677	Escherichia coli O157:H7	303	
Q9ZXB7	reviewed	ENLYS_BPH19	SAR-endolysin (EC 3.2.1.17) (Endolysin) (Lysis protein) (Lysozyme) (Muramidase)	R	Enterobacteria phage H19B (Bacteriophage H19B)	177	3.2.1.17
S4S2C7	reviewed	MAST_VESAF	Mastoparan-AF (MP-AF)		Vespa affinis (Lesser banded hornet)	62	
C0HLK8	reviewed	PERI2_PERAM	Periplanetasin-2 (Peri-2)		Periplaneta americana (American cockroach) (Blatta americana)	15	
H6VUC3	reviewed	DISRP_BPPKT	Disruptin gp28	phiKT_00028	Escherichia phage phiKT	56	
O64306	reviewed	MATA2_BPMX1	Maturation protein A2 (MP) (A2) (Assembly protein) (A protein)	A	Qbeta virus (strain MX1)	421	
O68669	reviewed	GVPJ_PRIMG	Gas vesicle protein J (GvpJ)	gvpJ	Priestia megaterium (Bacillus megaterium)	100	
P03640	reviewed	VGE_BPG4	Lysis protein (E protein) (GPE)	E	Escherichia phage G4 (Bacteriophage G4)	96	
P03788	reviewed	SPAN2_BPT7	Spanin, outer lipoprotein subunit (o-spanin) (Gene product 18.7) (Gp18.7) (Protein 18.7)	18.7	Escherichia phage T7 (Bacteriophage T7)	83	
P05820	reviewed	CEAM_ECOLX	Colicin-M	cma	Escherichia coli	271	
P06739	reviewed	HLYDP_ECOLX	Hemolysin secretion protein D, plasmid	hlyD	Escherichia coli	478	
P07233	reviewed	LYS_BPGA	Lysis protein		Enterobacteria phage GA (Bacteriophage GA)	63	
P09676	reviewed	MATA2_BPSP	Maturation protein A2 (MP) (A2) (Assembly protein) (A protein)	A	Enterobacteria phage SP (Bacteriophage SP)	450	
P10302	reviewed	SPAN2_BPT3	Spanin, outer lipoprotein subunit (o-spanin) (Gene product 18.7) (Gp18.7) (Protein 18.7)	18.7	Enterobacteria phage T3 (Bacteriophage T3)	83	
P18000	reviewed	CEA5_ECOLX	Colicin-E5 (EC 3.1.-.-)	col	Escherichia coli	180	3.1.-.-
P19903	reviewed	LYS_BPFR	Lysis protein		Enterobacteria phage fr (Bacteriophage fr)	71	
P23619	reviewed	HLYX_ACTPL	Regulatory protein HlyX	hlyX	Actinobacillus pleuropneumoniae (Haemophilus pleuropneumoniae)	240	
P31280	reviewed	VGE_BPAL3	Lysis protein (E protein) (GPE)	E	Escherichia phage alpha3 (Bacteriophage alpha-3)	75	
P34702	reviewed	LYS_BPJP3	Lysis protein		Enterobacteria phage JP34 (Bacteriophage JP34)	63	
P35518	reviewed	LCNB_LACLC	Bacteriocin lactococcin-B (LCN-B)	lcnB	Lactococcus lactis subsp. cremoris (Streptococcus cremoris)	68	
P46028	reviewed	HLY2_ACTPL	21 kDa hemolysin	hly	Actinobacillus pleuropneumoniae (Haemophilus pleuropneumoniae)	194	
P62530	reviewed	MCHB_ECOLX	Microcin H47 (MccH47)	mchB	Escherichia coli	75	
P62531	reviewed	MCHB_ECOL6	Microcin H47 (MccH47)	mchB c1227	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	75	
Q38040	reviewed	VGE_BPPHK	Lysis protein (E protein) (GPE)	E	Enterobacteria phage phiK (Bacteriophage phi-K)	75	
Q50770	reviewed	Y049_METTM	Uncharacterized protein MTBMA_c00490 (ORFX)	MTBMA_c00490	Methanothermobacter marburgensis (strain ATCC BAA-927 / DSM 2133 / JCM 14651 / NBRC 100331 / OCM 82 / Marburg) (Methanobacterium thermoautotrophicum)	142	
Q6XQ99	reviewed	HOLIN_BPT1	Holin (Pinholin)	13	Escherichia phage T1 (Bacteriophage T1)	71	
P04481	reviewed	YPCB_ECOLX	Uncharacterized protein in cib 5'region		Escherichia coli	216	
Q8FI27	reviewed	HLYEL_ECOL6	Putative hemolysin E-like protein	c1630	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	93	
Q9RCT3	reviewed	HLYEL_SHIFL	Putative hemolysin E-like protein	SF1171 S1259	Shigella flexneri	113	
Q9T1T7	reviewed	VLYS_BPAPS	Putative lysis protein S (p11)	11	Acyrthosiphon pisum secondary endosymbiont phage 1 (Bacteriophage APSE-1)	94	
