Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (primary)	EC number
P19835	reviewed	CEL_HUMAN	Bile salt-activated lipase (BAL) (EC 3.1.1.13) (EC 3.1.1.3) (EC 3.1.1.6) (Bile salt-stimulated lipase) (BSSL) (Bucelipase) (Carboxyl ester lipase) (Cholesterol esterase) (Pancreatic lysophospholipase) (Sterol esterase)	CEL BAL	Homo sapiens (Human)	753	CEL	3.1.1.13; 3.1.1.3; 3.1.1.6
P19971	reviewed	TYPH_HUMAN	Thymidine phosphorylase (TP) (EC 2.4.2.4) (Gliostatin) (Platelet-derived endothelial cell growth factor) (PD-ECGF) (TdRPase)	TYMP ECGF1	Homo sapiens (Human)	482	TYMP	2.4.2.4
P20020	reviewed	AT2B1_HUMAN	Plasma membrane calcium-transporting ATPase 1 (EC 7.2.2.10) (Plasma membrane calcium ATPase isoform 1) (PMCA1) (Plasma membrane calcium pump isoform 1)	ATP2B1 PMCA1	Homo sapiens (Human)	1220	ATP2B1	7.2.2.10
P20132	reviewed	SDHL_HUMAN	L-serine dehydratase/L-threonine deaminase (SDH) (EC 4.3.1.17) (Hepatic serine dehydratase) (hSDH) (L-serine deaminase) (L-threonine dehydratase) (TDH) (EC 4.3.1.19)	SDS SDH	Homo sapiens (Human)	328	SDS	4.3.1.17; 4.3.1.19
P20142	reviewed	PEPC_HUMAN	Gastricsin (EC 3.4.23.3) (Pepsinogen C)	PGC	Homo sapiens (Human)	388	PGC	3.4.23.3
P20151	reviewed	KLK2_HUMAN	Kallikrein-2 (EC 3.4.21.35) (Glandular kallikrein-1) (hGK-1) (Tissue kallikrein-2)	KLK2	Homo sapiens (Human)	261	KLK2	3.4.21.35
P20231	reviewed	TRYB2_HUMAN	Tryptase beta-2 (Tryptase-2) (EC 3.4.21.59) (Tryptase II)	TPSB2 TPS2	Homo sapiens (Human)	275	TPSB2	3.4.21.59
P20336	reviewed	RAB3A_HUMAN	Ras-related protein Rab-3A (EC 3.6.5.2)	RAB3A	Homo sapiens (Human)	220	RAB3A	3.6.5.2
P20337	reviewed	RAB3B_HUMAN	Ras-related protein Rab-3B (EC 3.6.5.2)	RAB3B	Homo sapiens (Human)	219	RAB3B	3.6.5.2
P20338	reviewed	RAB4A_HUMAN	Ras-related protein Rab-4A (EC 3.6.5.2)	RAB4A RAB4	Homo sapiens (Human)	218	RAB4A	3.6.5.2
P20339	reviewed	RAB5A_HUMAN	Ras-related protein Rab-5A (EC 3.6.5.2)	RAB5A RAB5	Homo sapiens (Human)	215	RAB5A	3.6.5.2
P20340	reviewed	RAB6A_HUMAN	Ras-related protein Rab-6A (Rab-6) (EC 3.6.5.2)	RAB6A RAB6	Homo sapiens (Human)	208	RAB6A	3.6.5.2
P20594	reviewed	ANPRB_HUMAN	Atrial natriuretic peptide receptor 2 (EC 4.6.1.2) (Atrial natriuretic peptide receptor type B) (ANP-B) (ANPR-B) (NPR-B) (Guanylate cyclase B) (GC-B)	NPR2 ANPRB	Homo sapiens (Human)	1047	NPR2	4.6.1.2
P20648	reviewed	ATP4A_HUMAN	Potassium-transporting ATPase alpha chain 1 (EC 7.2.2.19) (Gastric H(+)/K(+) ATPase subunit alpha) (Proton pump)	ATP4A	Homo sapiens (Human)	1035	ATP4A	7.2.2.19
P20711	reviewed	DDC_HUMAN	Aromatic-L-amino-acid decarboxylase (AADC) (EC 4.1.1.28) (DOPA decarboxylase) (DDC)	DDC AADC	Homo sapiens (Human)	480	DDC	4.1.1.28
P20718	reviewed	GRAH_HUMAN	Granzyme H (EC 3.4.21.-) (CCP-X) (Cathepsin G-like 2) (CTSGL2) (Cytotoxic T-lymphocyte proteinase) (Cytotoxic serine protease C) (CSP-C)	GZMH CGL2 CTSGL2	Homo sapiens (Human)	246	GZMH	3.4.21.-
P20794	reviewed	MAK_HUMAN	Serine/threonine-protein kinase MAK (EC 2.7.11.1) (Male germ cell-associated kinase)	MAK	Homo sapiens (Human)	623	MAK	2.7.11.1
P20807	reviewed	CAN3_HUMAN	Calpain-3 (EC 3.4.22.54) (Calcium-activated neutral proteinase 3) (CANP 3) (Calpain L3) (Calpain p94) (Muscle-specific calcium-activated neutral protease 3) (New calpain 1) (nCL-1)	CAPN3 CANP3 CANPL3 NCL1	Homo sapiens (Human)	821	CAPN3	3.4.22.54
P20813	reviewed	CP2B6_HUMAN	Cytochrome P450 2B6 (EC 1.14.13.-) (1,4-cineole 2-exo-monooxygenase) (CYPIIB6) (Cytochrome P450 IIB1)	CYP2B6	Homo sapiens (Human)	491	CYP2B6	1.14.13.-
P20815	reviewed	CP3A5_HUMAN	Cytochrome P450 3A5 (EC 1.14.14.1) (CYPIIIA5) (Cytochrome P450-PCN3)	CYP3A5	Homo sapiens (Human)	502	CYP3A5	1.14.14.1
P20839	reviewed	IMDH1_HUMAN	Inosine-5'-monophosphate dehydrogenase 1 (IMP dehydrogenase 1) (IMPD 1) (IMPDH 1) (EC 1.1.1.205) (IMPDH-I)	IMPDH1 IMPD1	Homo sapiens (Human)	514	IMPDH1	1.1.1.205
P20853	reviewed	CP2A7_HUMAN	Cytochrome P450 2A7 (EC 1.14.14.1) (CYPIIA7) (Cytochrome P450 IIA4)	CYP2A7	Homo sapiens (Human)	494	CYP2A7	1.14.14.1
P20933	reviewed	ASPG_HUMAN	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase (EC 3.5.1.26) (Aspartylglucosaminidase) (Glycosylasparaginase) (N4-(N-acetyl-beta-glucosaminyl)-L-asparagine amidase) [Cleaved into: Glycosylasparaginase alpha chain; Glycosylasparaginase beta chain]	AGA	Homo sapiens (Human)	346	AGA	3.5.1.26
P21108	reviewed	PRPS3_HUMAN	Ribose-phosphate pyrophosphokinase 3 (EC 2.7.6.1) (Phosphoribosyl pyrophosphate synthase 1-like 1) (PRPS1-like 1) (Phosphoribosyl pyrophosphate synthase III) (PRS-III)	PRPS1L1 PRPS3 PRPSL	Homo sapiens (Human)	318	PRPS1L1	2.7.6.1
P21127	reviewed	CD11B_HUMAN	Cyclin-dependent kinase 11B (EC 2.7.11.22) (Cell division cycle 2-like protein kinase 1) (CLK-1) (Cell division protein kinase 11B) (Galactosyltransferase-associated protein kinase p58/GTA) (PITSLRE serine/threonine-protein kinase CDC2L1) (p58 CLK-1)	CDK11B CDC2L1 CDK11 PITSLREA PK58	Homo sapiens (Human)	795	CDK11B	2.7.11.22
P21128	reviewed	ENDOU_HUMAN	Uridylate-specific endoribonuclease (EC 3.1.-.-) (EC 4.6.1.-) (Placental protein 11) (PP11) (Protein endoU)	ENDOU	Homo sapiens (Human)	410	ENDOU	3.1.-.-; 4.6.1.-
P21217	reviewed	FUT3_HUMAN	3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase FUT3 (EC 2.4.1.65) (4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase) (EC 2.4.1.152) (Alpha-3-fucosyltransferase FUT3) (EC 2.4.1.-) (Blood group Lewis alpha-4-fucosyltransferase) (Lewis FT) (Fucosyltransferase 3) (Fucosyltransferase III) (FucT-III)	FUT3 FT3B LE	Homo sapiens (Human)	361	FUT3	2.4.1.-; 2.4.1.152; 2.4.1.65
P21266	reviewed	GSTM3_HUMAN	Glutathione S-transferase Mu 3 (EC 2.5.1.18) (GST class-mu 3) (GSTM3-3) (hGSTM3-3)	GSTM3 GST5	Homo sapiens (Human)	225	GSTM3	2.5.1.18
P21397	reviewed	AOFA_HUMAN	Amine oxidase [flavin-containing] A (EC 1.4.3.21) (EC 1.4.3.4) (Monoamine oxidase type A) (MAO-A)	MAOA	Homo sapiens (Human)	527	MAOA	1.4.3.21; 1.4.3.4
P21399	reviewed	ACOHC_HUMAN	Cytoplasmic aconitate hydratase (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase) (Ferritin repressor protein) (Iron regulatory protein 1) (IRP1) (Iron-responsive element-binding protein 1) (IRE-BP 1)	ACO1 IREB1	Homo sapiens (Human)	889	ACO1	4.2.1.3
P21439	reviewed	MDR3_HUMAN	Phosphatidylcholine translocator ABCB4 (EC 7.6.2.1) (ATP-binding cassette sub-family B member 4) (Multidrug resistance protein 3) (P-glycoprotein 3)	ABCB4 MDR3 PGY3	Homo sapiens (Human)	1286	ABCB4	7.6.2.1
P21549	reviewed	AGT1_HUMAN	Alanine--glyoxylate aminotransferase (AGT) (EC 2.6.1.44) (Serine--pyruvate aminotransferase) (SPT) (EC 2.6.1.51)	AGXT AGT1 SPAT	Homo sapiens (Human)	392	AGXT	2.6.1.44; 2.6.1.51
P21580	reviewed	TNAP3_HUMAN	Tumor necrosis factor alpha-induced protein 3 (TNF alpha-induced protein 3) (EC 2.3.2.-) (EC 3.4.19.12) (OTU domain-containing protein 7C) (Putative DNA-binding protein A20) (Zinc finger protein A20) [Cleaved into: A20p50; A20p37]	TNFAIP3 OTUD7C	Homo sapiens (Human)	790	TNFAIP3	2.3.2.-; 3.4.19.12
P21589	reviewed	5NTD_HUMAN	5'-nucleotidase (5'-NT) (EC 3.1.3.35) (EC 3.1.3.5) (EC 3.1.3.89) (EC 3.1.3.91) (EC 3.1.3.99) (5'-deoxynucleotidase) (Ecto-5'-nucleotidase) (IMP-specific 5'-nucleotidase) (Thymidylate 5'-phosphatase) (CD antigen CD73)	NT5E NT5 NTE	Homo sapiens (Human)	574	NT5E	3.1.3.35; 3.1.3.5; 3.1.3.89; 3.1.3.91; 3.1.3.99
P21673	reviewed	SAT1_HUMAN	Diamine acetyltransferase 1 (EC 2.3.1.57) (Polyamine N-acetyltransferase 1) (Putrescine acetyltransferase) (Spermidine/spermine N(1)-acetyltransferase 1) (SSAT) (SSAT-1)	SAT1 SAT	Homo sapiens (Human)	171	SAT1	2.3.1.57
P21675	reviewed	TAF1_HUMAN	Transcription initiation factor TFIID subunit 1 (EC 2.3.1.48) (EC 2.7.11.1) (Cell cycle gene 1 protein) (TBP-associated factor 250 kDa) (p250) (Transcription initiation factor TFIID 250 kDa subunit) (TAF(II)250) (TAFII-250) (TAFII250)	TAF1 BA2R CCG1 CCGS TAF2A	Homo sapiens (Human)	1893	TAF1	2.3.1.48; 2.7.11.1
P21695	reviewed	GPDA_HUMAN	Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic (GPD-C) (GPDH-C) (EC 1.1.1.8)	GPD1	Homo sapiens (Human)	349	GPD1	1.1.1.8
P21709	reviewed	EPHA1_HUMAN	Ephrin type-A receptor 1 (hEpha1) (EC 2.7.10.1) (EPH tyrosine kinase) (EPH tyrosine kinase 1) (Erythropoietin-producing hepatoma receptor) (Tyrosine-protein kinase receptor EPH)	EPHA1 EPH EPHT EPHT1	Homo sapiens (Human)	976	EPHA1	2.7.10.1
P21802	reviewed	FGFR2_HUMAN	Fibroblast growth factor receptor 2 (FGFR-2) (EC 2.7.10.1) (K-sam) (KGFR) (Keratinocyte growth factor receptor) (CD antigen CD332)	FGFR2 BEK KGFR KSAM	Homo sapiens (Human)	821	FGFR2	2.7.10.1
P21860	reviewed	ERBB3_HUMAN	Receptor tyrosine-protein kinase erbB-3 (EC 2.7.10.1) (Proto-oncogene-like protein c-ErbB-3) (Tyrosine kinase-type cell surface receptor HER3)	ERBB3 HER3	Homo sapiens (Human)	1342	ERBB3	2.7.10.1
P21912	reviewed	SDHB_HUMAN	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial (EC 1.3.5.1) (Iron-sulfur subunit of complex II) (Ip) (Malate dehydrogenase [quinone] iron-sulfur subunit) (EC 1.1.5.-)	SDHB SDH SDH1	Homo sapiens (Human)	280	SDHB	1.1.5.-; 1.3.5.1
P21953	reviewed	ODBB_HUMAN	2-oxoisovalerate dehydrogenase subunit beta, mitochondrial (EC 1.2.4.4) (Branched-chain alpha-keto acid dehydrogenase E1 component beta chain) (BCKDE1B) (BCKDH E1-beta)	BCKDHB	Homo sapiens (Human)	392	BCKDHB	1.2.4.4
P21964	reviewed	COMT_HUMAN	Catechol O-methyltransferase (EC 2.1.1.6)	COMT	Homo sapiens (Human)	271	COMT	2.1.1.6
P21980	reviewed	TGM2_HUMAN	Protein-glutamine gamma-glutamyltransferase 2 (EC 2.3.2.13) (Erythrocyte transglutaminase) (Heart G alpha(h)) (hhG alpha(h)) (Isopeptidase TGM2) (EC 3.4.-.-) (Protein G alpha(h)) (G(h)) (Protein-glutamine deamidase TGM2) (EC 3.5.1.44) (Protein-glutamine dopaminyltransferase TGM2) (EC 2.3.1.-) (Protein-glutamine histaminyltransferase TGM2) (EC 2.3.1.-) (Protein-glutamine noradrenalinyltransferase TGM2) (EC 2.3.1.-) (Protein-glutamine serotonyltransferase TGM2) (EC 2.3.1.-) (Tissue transglutaminase) (tTG) (tTgase) (Transglutaminase C) (TG(C)) (TGC) (TGase C) (Transglutaminase H) (TGase H) (Transglutaminase II) (TGase II) (Transglutaminase-2) (TG2) (TGase-2) (hTG2)	TGM2	Homo sapiens (Human)	687	TGM2	2.3.1.-; 2.3.2.13; 3.4.-.-; 3.5.1.44
P22033	reviewed	MUTA_HUMAN	Methylmalonyl-CoA mutase, mitochondrial (MCM) (EC 5.4.99.2) (Methylmalonyl-CoA isomerase)	MMUT MUT	Homo sapiens (Human)	750	MMUT	5.4.99.2
P22061	reviewed	PIMT_HUMAN	Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PIMT) (EC 2.1.1.77) (L-isoaspartyl protein carboxyl methyltransferase) (Protein L-isoaspartyl/D-aspartyl methyltransferase) (Protein-beta-aspartate methyltransferase)	PCMT1	Homo sapiens (Human)	227	PCMT1	2.1.1.77
P22079	reviewed	PERL_HUMAN	Lactoperoxidase (LPO) (EC 1.11.1.7) (Salivary peroxidase) (SPO)	LPO SAPX	Homo sapiens (Human)	712	LPO	1.11.1.7
P22083	reviewed	FUT4_HUMAN	Alpha-(1,3)-fucosyltransferase 4 (4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase) (EC 2.4.1.152) (ELAM-1 ligand fucosyltransferase) (Fucosyltransferase 4) (Fucosyltransferase IV) (Fuc-TIV) (FucT-IV) (Galactoside 3-L-fucosyltransferase)	FUT4 ELFT FCT3A	Homo sapiens (Human)	530	FUT4	2.4.1.152
P22087	reviewed	FBRL_HUMAN	rRNA 2'-O-methyltransferase fibrillarin (EC 2.1.1.-) (34 kDa nucleolar scleroderma antigen) (Histone-glutamine methyltransferase) (U6 snRNA 2'-O-methyltransferase fibrillarin)	FBL FIB1 FLRN	Homo sapiens (Human)	321	FBL	2.1.1.-
P22102	reviewed	PUR2_HUMAN	Trifunctional purine biosynthetic protein adenosine-3 [Includes: Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (Glycinamide ribonucleotide synthetase) (GARS) (Phosphoribosylglycinamide synthetase); Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase); Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART)]	GART PGFT PRGS	Homo sapiens (Human)	1010	GART	2.1.2.2; 6.3.3.1; 6.3.4.13
P22234	reviewed	PUR6_HUMAN	Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase (PAICS) [Includes: Phosphoribosylaminoimidazole carboxylase (EC 4.1.1.21) (AIR carboxylase) (AIRC); Phosphoribosylaminoimidazole succinocarboxamide synthetase (EC 6.3.2.6) (SAICAR synthetase)]	PAICS ADE2 AIRC PAIS	Homo sapiens (Human)	425	PAICS	4.1.1.21; 6.3.2.6
P22303	reviewed	ACES_HUMAN	Acetylcholinesterase (AChE) (EC 3.1.1.7)	ACHE	Homo sapiens (Human)	614	ACHE	3.1.1.7
P22304	reviewed	IDS_HUMAN	Iduronate 2-sulfatase (EC 3.1.6.13) (Alpha-L-iduronate sulfate sulfatase) (Idursulfase) [Cleaved into: Iduronate 2-sulfatase 42 kDa chain; Iduronate 2-sulfatase 14 kDa chain]	IDS SIDS	Homo sapiens (Human)	550	IDS	3.1.6.13
P22307	reviewed	SCP2_HUMAN	Sterol carrier protein 2 (SCP-2) (Acetyl-CoA C-myristoyltransferase) (EC 2.3.1.155) (Non-specific lipid-transfer protein) (NSL-TP) (Propanoyl-CoA C-acyltransferase) (EC 2.3.1.176) (SCP-2/3-oxoacyl-CoA thiolase) (SCP-2/thiolase) (EC 2.3.1.16) (SCP-chi) (SCPX) (Sterol carrier protein X) (SCP-X)	SCP2	Homo sapiens (Human)	547	SCP2	2.3.1.155; 2.3.1.16; 2.3.1.176
P22309	reviewed	UD11_HUMAN	UDP-glucuronosyltransferase 1A1 (UGT1A1) (EC 2.4.1.17) (Bilirubin-specific UDPGT isozyme 1) (hUG-BR1) (UDP-glucuronosyltransferase 1-1) (UDPGT 1-1) (UGT1*1) (UGT1-01) (UGT1.1) (UDP-glucuronosyltransferase 1A isoform 1)	UGT1A1 GNT1 UGT1	Homo sapiens (Human)	533	UGT1A1	2.4.1.17
P22310	reviewed	UD14_HUMAN	UDP-glucuronosyltransferase 1A4 (UGT1A4) (EC 2.4.1.17) (Bilirubin-specific UDPGT isozyme 2) (hUG-BR2) (UDP-glucuronosyltransferase 1-4) (UDPGT 1-4) (UGT1*4) (UGT1-04) (UGT1.4) (UDP-glucuronosyltransferase 1-D) (UGT-1D) (UGT1D)	UGT1A4 GNT1 UGT1	Homo sapiens (Human)	534	UGT1A4	2.4.1.17
P22314	reviewed	UBA1_HUMAN	Ubiquitin-like modifier-activating enzyme 1 (EC 6.2.1.45) (Protein A1S9) (Ubiquitin-activating enzyme E1)	UBA1 A1S9T UBE1	Homo sapiens (Human)	1058	UBA1	6.2.1.45
P22352	reviewed	GPX3_HUMAN	Glutathione peroxidase 3 (GPx-3) (GSHPx-3) (EC 1.11.1.9) (Extracellular glutathione peroxidase) (Plasma glutathione peroxidase) (GPx-P) (GSHPx-P)	GPX3 GPXP	Homo sapiens (Human)	226	GPX3	1.11.1.9
P22392	reviewed	NDKB_HUMAN	Nucleoside diphosphate kinase B (NDK B) (NDP kinase B) (EC 2.7.4.6) (C-myc purine-binding transcription factor PUF) (Histidine protein kinase NDKB) (EC 2.7.13.3) (nm23-H2)	NME2 NM23B	Homo sapiens (Human)	152	NME2	2.7.13.3; 2.7.4.6
P22413	reviewed	ENPP1_HUMAN	Ectonucleotide pyrophosphatase/phosphodiesterase family member 1 (E-NPP 1) (Alkaline phosphodiesterase I) (EC 3.1.4.1) (Membrane component chromosome 6 surface marker 1) (Nucleotide diphosphatase) (Nucleotide pyrophosphatase) (NPPase) (EC 3.6.1.9) (Phosphodiesterase I/nucleotide pyrophosphatase 1) (Plasma-cell membrane glycoprotein PC-1) [Cleaved into: Ectonucleotide pyrophosphatase/phosphodiesterase family member 1, secreted form]	ENPP1 M6S1 NPPS PC1 PDNP1	Homo sapiens (Human)	925	ENPP1	3.1.4.1; 3.6.1.9
P22455	reviewed	FGFR4_HUMAN	Fibroblast growth factor receptor 4 (FGFR-4) (EC 2.7.10.1) (CD antigen CD334)	FGFR4 JTK2 TKF	Homo sapiens (Human)	802	FGFR4	2.7.10.1
P22557	reviewed	HEM0_HUMAN	5-aminolevulinate synthase, erythroid-specific, mitochondrial (ALAS-E) (EC 2.3.1.37) (5-aminolevulinic acid synthase 2) (Delta-ALA synthase 2) (Delta-aminolevulinate synthase 2)	ALAS2 ALASE ASB	Homo sapiens (Human)	587	ALAS2	2.3.1.37
P22570	reviewed	ADRO_HUMAN	NADPH:adrenodoxin oxidoreductase, mitochondrial (AR) (Adrenodoxin reductase) (EC 1.18.1.6) (Ferredoxin--NADP(+) reductase) (Ferredoxin reductase) (EC 1.18.1.-)	FDXR ADXR	Homo sapiens (Human)	491	FDXR	1.18.1.-; 1.18.1.6
P22607	reviewed	FGFR3_HUMAN	Fibroblast growth factor receptor 3 (FGFR-3) (EC 2.7.10.1) (CD antigen CD333)	FGFR3 JTK4	Homo sapiens (Human)	806	FGFR3	2.7.10.1
P22612	reviewed	KAPCG_HUMAN	cAMP-dependent protein kinase catalytic subunit gamma (PKA C-gamma) (EC 2.7.11.11)	PRKACG	Homo sapiens (Human)	351	PRKACG	2.7.11.11
P22680	reviewed	CP7A1_HUMAN	Cytochrome P450 7A1 (24-hydroxycholesterol 7-alpha-hydroxylase) (EC 1.14.14.26) (CYPVII) (Cholesterol 7-alpha-hydroxylase) (Cholesterol 7-alpha-monooxygenase) (EC 1.14.14.23)	CYP7A1 CYP7	Homo sapiens (Human)	504	CYP7A1	1.14.14.23; 1.14.14.26
P22681	reviewed	CBL_HUMAN	E3 ubiquitin-protein ligase CBL (EC 2.3.2.27) (Casitas B-lineage lymphoma proto-oncogene) (Proto-oncogene c-Cbl) (RING finger protein 55) (RING-type E3 ubiquitin transferase CBL) (Signal transduction protein CBL)	CBL CBL2 RNF55	Homo sapiens (Human)	906	CBL	2.3.2.27
P22694	reviewed	KAPCB_HUMAN	cAMP-dependent protein kinase catalytic subunit beta (PKA C-beta) (EC 2.7.11.11)	PRKACB	Homo sapiens (Human)	351	PRKACB	2.7.11.11
P22735	reviewed	TGM1_HUMAN	Protein-glutamine gamma-glutamyltransferase K (EC 2.3.2.13) (Epidermal TGase) (Transglutaminase K) (TG(K)) (TGK) (TGase K) (Transglutaminase-1) (TGase-1)	TGM1 KTG	Homo sapiens (Human)	817	TGM1	2.3.2.13
P22748	reviewed	CAH4_HUMAN	Carbonic anhydrase 4 (EC 4.2.1.1) (Carbonate dehydratase IV) (Carbonic anhydrase IV) (CA-IV)	CA4	Homo sapiens (Human)	312	CA4	4.2.1.1
P22760	reviewed	AAAD_HUMAN	Arylacetamide deacetylase (EC 3.1.1.3)	AADAC DAC	Homo sapiens (Human)	399	AADAC	3.1.1.3
P22830	reviewed	HEMH_HUMAN	Ferrochelatase, mitochondrial (EC 4.98.1.1) (Heme synthase) (Protoheme ferro-lyase)	FECH	Homo sapiens (Human)	423	FECH	4.98.1.1
P22894	reviewed	MMP8_HUMAN	Neutrophil collagenase (EC 3.4.24.34) (Matrix metalloproteinase-8) (MMP-8) (PMNL collagenase) (PMNL-CL)	MMP8 CLG1	Homo sapiens (Human)	467	MMP8	3.4.24.34
P23109	reviewed	AMPD1_HUMAN	AMP deaminase 1 (EC 3.5.4.6) (AMP deaminase isoform M) (Myoadenylate deaminase)	AMPD1	Homo sapiens (Human)	747	AMPD1	3.5.4.6
P23141	reviewed	EST1_HUMAN	Liver carboxylesterase 1 (Acyl-coenzyme A:cholesterol acyltransferase) (ACAT) (Brain carboxylesterase hBr1) (Carboxylesterase 1) (CE-1) (hCE-1) (EC 3.1.1.1) (Cholesteryl ester hydrolase) (CEH) (EC 3.1.1.13) (Cocaine carboxylesterase) (Egasyn) (HMSE) (Methylumbelliferyl-acetate deacetylase 1) (EC 3.1.1.56) (Monocyte/macrophage serine esterase) (Retinyl ester hydrolase) (REH) (Serine esterase 1) (Triacylglycerol hydrolase) (TGH)	CES1 CES2 SES1	Homo sapiens (Human)	567	CES1	3.1.1.1; 3.1.1.13; 3.1.1.56
P23219	reviewed	PGH1_HUMAN	Prostaglandin G/H synthase 1 (EC 1.14.99.1) (Cyclooxygenase-1) (COX-1) (Prostaglandin H2 synthase 1) (PGH synthase 1) (PGHS-1) (PHS 1) (Prostaglandin-endoperoxide synthase 1)	PTGS1 COX1	Homo sapiens (Human)	599	PTGS1	1.14.99.1
P23276	reviewed	KELL_HUMAN	Kell blood group glycoprotein (EC 3.4.24.-) (CD antigen CD238)	KEL	Homo sapiens (Human)	732	KEL	3.4.24.-
P23280	reviewed	CAH6_HUMAN	Carbonic anhydrase 6 (EC 4.2.1.1) (Carbonate dehydratase VI) (Carbonic anhydrase VI) (CA-VI) (Salivary carbonic anhydrase) (Secreted carbonic anhydrase)	CA6	Homo sapiens (Human)	308	CA6	4.2.1.1
P23284	reviewed	PPIB_HUMAN	Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (CYP-S1) (Cyclophilin B) (Rotamase B) (S-cyclophilin) (SCYLP)	PPIB CYPB	Homo sapiens (Human)	216	PPIB	5.2.1.8
P23368	reviewed	MAOM_HUMAN	NAD-dependent malic enzyme, mitochondrial (NAD-ME) (EC 1.1.1.38) (Malic enzyme 2)	ME2	Homo sapiens (Human)	584	ME2	1.1.1.38
P23378	reviewed	GCSP_HUMAN	Glycine dehydrogenase (decarboxylating), mitochondrial (EC 1.4.4.2) (Glycine cleavage system P protein) (Glycine decarboxylase) (Glycine dehydrogenase (aminomethyl-transferring))	GLDC GCSP	Homo sapiens (Human)	1020	GLDC	1.4.4.2
P23381	reviewed	SYWC_HUMAN	Tryptophan--tRNA ligase, cytoplasmic (EC 6.1.1.2) (Interferon-induced protein 53) (IFP53) (Tryptophanyl-tRNA synthetase) (TrpRS) (hWRS) [Cleaved into: T1-TrpRS; T2-TrpRS]	WARS1 IFI53 WARS WRS	Homo sapiens (Human)	471	WARS1	6.1.1.2
P23396	reviewed	RS3_HUMAN	Small ribosomal subunit protein uS3 (40S ribosomal protein S3) (EC 4.2.99.18)	RPS3 OK/SW-cl.26	Homo sapiens (Human)	243	RPS3	4.2.99.18
P23443	reviewed	KS6B1_HUMAN	Ribosomal protein S6 kinase beta-1 (S6K-beta-1) (S6K1) (EC 2.7.11.1) (70 kDa ribosomal protein S6 kinase 1) (P70S6K1) (p70-S6K 1) (Ribosomal protein S6 kinase I) (Serine/threonine-protein kinase 14A) (p70 ribosomal S6 kinase alpha) (p70 S6 kinase alpha) (p70 S6K-alpha) (p70 S6KA)	RPS6KB1 STK14A	Homo sapiens (Human)	525	RPS6KB1	2.7.11.1
P23458	reviewed	JAK1_HUMAN	Tyrosine-protein kinase JAK1 (EC 2.7.10.2) (Janus kinase 1) (JAK-1)	JAK1 JAK1A JAK1B	Homo sapiens (Human)	1154	JAK1	2.7.10.2
P23467	reviewed	PTPRB_HUMAN	Receptor-type tyrosine-protein phosphatase beta (Protein-tyrosine phosphatase beta) (R-PTP-beta) (EC 3.1.3.48) (Vascular endothelial protein tyrosine phosphatase) (VE-PTP)	PTPRB PTPB	Homo sapiens (Human)	1997	PTPRB	3.1.3.48
P23468	reviewed	PTPRD_HUMAN	Receptor-type tyrosine-protein phosphatase delta (Protein-tyrosine phosphatase delta) (R-PTP-delta) (EC 3.1.3.48)	PTPRD	Homo sapiens (Human)	1912	PTPRD	3.1.3.48
P23469	reviewed	PTPRE_HUMAN	Receptor-type tyrosine-protein phosphatase epsilon (Protein-tyrosine phosphatase epsilon) (R-PTP-epsilon) (EC 3.1.3.48)	PTPRE	Homo sapiens (Human)	700	PTPRE	3.1.3.48
P23470	reviewed	PTPRG_HUMAN	Receptor-type tyrosine-protein phosphatase gamma (Protein-tyrosine phosphatase gamma) (R-PTP-gamma) (EC 3.1.3.48)	PTPRG PTPG	Homo sapiens (Human)	1445	PTPRG	3.1.3.48
P23471	reviewed	PTPRZ_HUMAN	Receptor-type tyrosine-protein phosphatase zeta (R-PTP-zeta) (EC 3.1.3.48) (Protein-tyrosine phosphatase receptor type Z polypeptide 1) (Protein-tyrosine phosphatase receptor type Z polypeptide 2) (R-PTP-zeta-2)	PTPRZ1 HTPZP2 PTPRZ PTPRZ2 PTPZ	Homo sapiens (Human)	2315	PTPRZ1	3.1.3.48
P23526	reviewed	SAHH_HUMAN	Adenosylhomocysteinase (AdoHcyase) (EC 3.13.2.1) (S-adenosyl-L-homocysteine hydrolase)	AHCY SAHH	Homo sapiens (Human)	432	AHCY	3.13.2.1
